university,school,degree,recordCount
"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Social Sciences","11"
"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Arts (Hons)","11"
"National University of Singapore","Faculty of Arts & Social Sciences","Bachelor of Arts","11"
"Nanyang Technological University","College of Engineering","Computer Science","10"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Communication Studies","10"
"National University of Singapore","NUS Business School","Bachelor of Business Administration (Accountancy) (Hons)","10"
"National University of Singapore","School of Computing","Bachelor of Computing (Computer Science)","10"
"Nanyang Technological University","College of Engineering","Mechanical Engineering","10"
"National University of Singapore","Faculty of Science","Bachelor of Science (Hons)","10"
"National University of Singapore","NUS Business School","Bachelor of Business Administration","10"
"Nanyang Technological University","College of Engineering","Bioengineering","10"
"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business","10"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Sociology","10"
"Nanyang Technological University","College of Engineering","Maritime Studies","10"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Economics","10"
"National University of Singapore","School of Computing","Bachelor of Computing (Information Systems)","10"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","English","10"
"Nanyang Technological University","College of Engineering","Environmental Engineering","10"
"National University of Singapore","NUS Business School","Bachelor of Business Administration (Hons)","10"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Psychology","10"
"Nanyang Technological University","College of Engineering","Computer Engineering","10"
"Nanyang Technological University","College of Engineering","Civil Engineering","10"
"Nanyang Technological University","College of Engineering","Materials Engineering","10"
"Nanyang Technological University","College of Engineering","Aerospace Engineering","10"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Chinese","10"
"National University of Singapore","School of Design & Environment","Bachelor of Science (Project and Facilities Management)","9"
"National University of Singapore","Faculty of Science","Bachelor of Science","9"
"National University of Singapore","School of Design & Environment","Bachelor of Science (Real Estate)","9"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Science in Computer Science in Real-Time Interactive Simulation","9"
"Singapore Institute of Technology","Technische Universität München","Bachelor of Science in Chemical Engineering","9"
"National University of Singapore","Faculty of Dentistry","Bachelor of Dental Surgery","9"
"Singapore Management University","School of Economics (4-year programme) *","Economics","8"
